text_a	label
-DOCSTART-	O
She was sent to Loretto Abbey in Dublin and from there to India to begin her novitiate and teach geography at a convent school in Calcutta .	O O O O B-LOC I-LOC O B-LOC O O O O B-LOC O O O O O O O O O O O O B-LOC O
" It 's a win that I can be proud of , " said the 30-year-old Swede , winner of two U.S. Opens and six Grand Slam titles in all . "	O O O O O O O O O O O O O O O O B-MISC O O O O B-LOC O O O B-MISC I-MISC O O O O O
The latest sets a timetable for disarmament by the end of January and elections by May 30 .	O O O O O O O O O O O O O O O O O O
Miss Universe hides behind veil of silence .	B-MISC I-MISC O O O O O O
Last month Five Nations ' committee chairman Tom Kiernan said England would be thrown out of the competition " unless circumstances change in the near future " .	O O B-MISC I-MISC O O O B-PER I-PER O B-LOC O O O O O O O O O O O O O O O O O
Federal Yugoslav elections are due on November 3 .	O B-MISC O O O O O O O
We think that when the word about how things are going in Mahala which is about 35 minutes away by road reaches Zvornik that should help , " Marriner said .	O O O O O O O O O O O O B-LOC O O O O O O O O O B-LOC O O O O O B-PER O O
12. Olivier Panis ( France ) Ligier 1:56.417	O B-PER I-PER O B-LOC O B-ORG O
-DOCSTART-	O
In New York , Steve Finley 's three-run homer capped a four-run eighth inning and gave the San Diego Padres a 4-3 victory over New York , spoiling Bobby Valentine 's debut as Mets ' manager .	O B-LOC I-LOC O B-PER I-PER O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O B-LOC I-LOC O O B-PER I-PER O O O B-ORG O O O
The government would put land on the market to stop rentals " going through the roof " , but this would mean reclamation , with possible environmental problems .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Jiangling Motors Corp , in a statement in Saturday 's edition of the China Securities newspaper , said net profit in the period was 3.385 million yuan , down from 14.956 million in the same 1995 period .	B-ORG I-ORG I-ORG O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O
TEXAS AT MINNESOTA	B-ORG O B-LOC
-DOCSTART-	O
Key Clinton aide resigns , NBC says .	O B-PER O O O B-ORG O O
The embattled Afghan government said last week that the Kabul-Salang highway would be opened on Monday or Tuesday following talks with the Supreme Coordination Council alliance led by Jumbish-i-Milli movement of powerful opposition warlord General Abdul Rashid Dostum .	O O B-MISC O O O O O O B-LOC O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O B-ORG O O O O O O B-PER I-PER I-PER O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER SUNDAY 'S GAMES .	O O B-MISC I-MISC O O O O O O
Motor-bike registration rose 32.7 percent in the period .	O O O O O O O O O
Wife of gun victim Brady praises Clinton .	O O O O B-PER O B-PER O
- IP / 96 / 804 : Commission approves acquisition of Pao de Acucar by Auchan .	O O O O O O O B-ORG O O O B-ORG I-ORG I-ORG O B-ORG O
-DOCSTART-	O
Some guerrillas made villagers listen to propaganda speeches in the village centre , others forced passing motorists out of their cars and daubed their vehicles with slogans .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The censorship office denied they had confiscated the newspapers but declined to say when they could go on sale .	O O O O O O O O O O O O O O O O O O O O
0-0 .	O O
Viral meningitis has killed 10 people in Romania 's capital Bucharest this month in what doctors said on Thursday was the worst epidemic of its type in the country for a decade .	O O O O O O O B-LOC O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
Nicaraguan President Violeta Chamorro underwent successful surgery in the United States on Monday to correct a compression in her lower spinal column , the government said .	B-MISC O B-PER I-PER O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O
Congress is constitutionally obliged to approve the budget by the end of year but regularly fails to meet that requirement .	B-ORG O O O O O O O O O O O O O O O O O O O O
Whitehurst , promoted from Triple-A Columbus on Wednesday , allowed seven hits and struck out one without a walk .	B-PER O O O B-ORG I-ORG O O O O O O O O O O O O O O
**General Consumer Price Index ( 100=1992 ) , Producer Prices Index and Industrial Production Index ( 100=1990 ) .	B-MISC I-MISC I-MISC I-MISC O O O O B-MISC I-MISC I-MISC O B-MISC I-MISC I-MISC O O O O
The London bourse drew little help from the unsettled morning on Wall Street , which slipped in and out of positive ground after a stronger-than-expected August consumer confidence report refuelled inflation fears , pulling U.S. Treasuries back from their early peaks .	O B-LOC O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O
SOCCER - FRENCH LEAGUE RESULTS .	O O B-MISC O O O
In July , the volume of help-wanted advertising fell in five of the nine U.S. regions .	O O O O O O O O O O O O O O B-LOC O O
The Tigers have won consecutive games after dropping eight in a row , but have won nine of their last 12 at home .	O B-ORG O O O O O O O O O O O O O O O O O O O O O O
6. Johansson 17	O B-PER O
3. Kennedy Ochieng ( Kenya ) 46.21	O B-PER I-PER O B-LOC O O
Martina Hingis led a youthful charge and Australian Open finalist Anke Huber and Magdalena Maleeva were fallen seeds on Monday in a hot , sunny opening to the U.S. Open tennis championships .	B-PER I-PER O O O O O B-MISC I-MISC O B-PER I-PER O B-PER I-PER O O O O O O O O O O O O O B-MISC I-MISC O O O
" America can look back on a week of remarkable achievement , " Clinton said , without even a passing reference to the Republican majority in the House and Senate .	O B-LOC O O O O O O O O O O O B-PER O O O O O O O O O B-MISC O O O B-ORG O B-ORG O
When ( halfback ) Justin Marshall got the ball he was going to go on the openside where Jon Preston was so I emptied my lung at him to get the ball this way .	O O O O B-PER I-PER O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O
The survey was conducted between July 23 and August 14 and involved 1,305 companies , representing 50 industries , accounting for around half of the UK 's manufactured exports and some two million employees .	O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O
Reiterates previous " buy " recommendation after results .	O O O O O O O O O
Fall of wicket - 1-106 2-239 3-334 4-334	O O O O O O O O
S. Waugh c Campbell b Whittall 82	B-PER I-PER O B-PER O B-PER O
Graham Gooch , the 43-year-old former England captain , is to continue playing county cricket for at least another season , his club Essex announced on Tuesday .	B-PER I-PER O O O O B-LOC O O O O O O O O O O O O O O O O B-ORG O O O O
Indian soy prices end steady ahead of holiday .	B-MISC O O O O O O O O
AMERICAN LEAGUE	B-MISC I-MISC
Debbie Graham ( U.S. ) beat Stephanie Deville ( Belarus ) 6-4 6-2	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
289 Scott Hoch 71 68 77 73	O B-PER I-PER O O O O
Doctors operated on Popov , 24 , for three hours .	O O O B-PER O O O O O O O
Forfar 3 Inverness 1	B-ORG O B-ORG O
The diminutive Roman Catholic missionary was on respiratory support in intensive care in an Indian nursing home on Thursday after suffering heart failure .	O O B-MISC I-MISC O O O O O O O O O O B-MISC O O O O O O O O O
international athletics meeting on Wednesday :	O O O O O O
Under the revised version state spending is expected to rise by some 566 billion lei .	O O O O O O O O O O O O O O O O
premium over LME cash 7.5 cents / pound	O O B-ORG O O O O O
Stuttgart 2 ( Balakow 50th , Bobic 61st ) Werder Bremen 1 ( Votava	B-ORG O O B-PER O O B-PER O O B-ORG I-ORG O O B-PER
" Sarah , I told you this is the Democratic convention , " he responded to his wife , who before the shooting had worked for two Republican congressmen and the Republican national party .	O B-PER O O O O O O O B-MISC O O O O O O O O O O O O O O O O O B-MISC O O O B-MISC O O O
Excluding the effect of a one-time restructuring charge of $ 17.4 million , IVAC had net income of $ 4.2 million on net sales of $ 112.8 million for the 1996 first half .	O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
2. Michelle Freeman ( Jamaica ) 12.91	O B-PER I-PER O B-LOC O O
2. Rolf Sorensen ( Denmark ) Rabobank	O B-PER I-PER O B-LOC O B-ORG
3. Moses Kiptanui ( Kenya ) 8:12.65	O B-PER I-PER O B-LOC O O
-- U.S. Municipal Desk , 212-859-1650	O B-ORG I-ORG I-ORG O O
Kurd group says Iraqi troops massing near north .	B-MISC O O B-MISC O O O O O
AMSTERDAM 1996-08-29	B-LOC O
KATHMANDU 1996-08-23	B-LOC O
TORONTO 62 70 .470 13	B-ORG O O O O
He praised Clinton for vetoing the Republican Congress ' attempt to repeal parts of the Clean Air Act , and criticized Republicans for " slashing money to combat drugs in schools . "	O O B-PER O O O B-MISC B-ORG O O O O O O O B-MISC I-MISC I-MISC O O O B-MISC O O O O O O O O O O O
But she said more had to be done .	O O O O O O O O O
2 - Ong Ewe Hock ( Malaysia ) beat Indra Wijaya ( Indonesia ) 1-15	O O B-PER I-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
JERUSALEM 1996-08-22	B-LOC O
-DOCSTART-	O
Montreal 10 SAN FRANCISCO 8	B-ORG O B-ORG I-ORG O
In another letter dated January 1865 , a well-to-do Washington matron wrote to Lincoln to plead for her son , who faced a dishonourable discharge from the Army . "	O O O O O O O O O B-LOC O O O B-PER O O O O O O O O O O O O O B-ORG O O
The Kurdistan Democratic Party ( KDP ) said the Patriotic Union of Kurdistan ( PUK ) had broken the U.S.-brokered ceasefire agreed between the two parties last week .	O B-ORG I-ORG I-ORG O B-ORG O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O O O B-MISC O O O O O O O O O
Also omitted from the 20-man squad which will travel to Vaduz for Saturday 's group eight match are central defenders Alan Kernaghan and Liam Daish .	O O O O O O O O O O B-LOC O O O O O O O O O B-PER I-PER O B-PER I-PER O
Florida cop disguised as shrub nabs bad guys .	B-LOC O O O O O O O O
SOCCER - FIORENTINA BEAT MILAN IN ITALIAN SUPERCUP .	O O B-ORG O B-ORG O B-MISC I-MISC O
million NEC World Series of Golf after the first round	O B-MISC I-MISC I-MISC I-MISC I-MISC O O O O
-DOCSTART-	O
Northamptonshire 13 2 6 5 30 43 120	B-ORG O O O O O O O
SOCCER - UEFA REWARDS THREE COUNTRIES FOR FAIR PLAY .	O O B-ORG O O O O O O O
COMMACK , New York 1996-08-24	B-LOC O B-LOC I-LOC O
19. France 8.18	O B-LOC O
-DOCSTART-	O
It 's always difficult to win a match when you lose the first set , especially against someone you have never beaten , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
BALANCE OF PAYMENTS	O O O
PARIS 1996-08-24	B-LOC O
BRUSSELS	B-LOC
- International Fair opens in the northern city of Beja with the participation of 16 foreign countries .	O B-MISC I-MISC O O O O O O B-LOC O O O O O O O O
Ferro Carril Oeste 0 Independiente 3	B-ORG I-ORG I-ORG O B-ORG O
standings after games played on Monday ( tabulate under won ,	O O O O O O O O O O O
SINGAPORE 1996-08-26	B-LOC O
Leicester 0 Arsenal 2	B-ORG O B-ORG O
Attendance not given .	O O O O
" They think something is stuck , " the source said . "	O O O O O O O O O O O O O
The biggest of those was Malbak .	O O O O O B-ORG O
SYDNEY 2,292.9 +18.3 2,326.00 2,096.10	B-LOC O O O O
Manchester City v Charlton , Norwich v Wolverhampton , Oldham v	B-ORG I-ORG O B-ORG O B-ORG O B-ORG O B-ORG O
Result of the Spanish Super Cup , second leg , played on Wednesday :	O O O B-MISC B-MISC I-MISC O O O O O O O O
Crystal Palace 2 1 0 1 3 2 3	B-ORG I-ORG O O O O O O O
You 've got to have a rule for everybody and I do n't think it 's feasible . "	O O O O O O O O O O O O O O O O O O O
KARACHI , Pakistan 1996-08-26	B-LOC O B-LOC O
-DOCSTART-	O
9. Yoshikawa 108	O B-PER O
Alan Elsner	B-PER I-PER
There is no objection to their travel , " he added .	O O O O O O O O O O O O
FRANKFURT 1996-08-23	B-LOC O
The 30-share DAX index closed at 2,563.16 points , up 4.32 .	O O B-MISC O O O O O O O O O
Quarracino and other Church leaders are regular critics of the government 's free-market economic policy .	B-PER O O O O O O O O O O O O O O O
Of this number 64 foreign and 598 local staff would be in the northern Kurdish provinces , no longer the direct control of the Baghdad government .	O O O O O O O O O O O O O O B-MISC O O O O O O O O O B-LOC O O
Tsang said three sets of meetings with Chinese authorities on Hong Kong 's 1997-98 budget , which will span the transition period , had gone smoothly . "	B-PER O O O O O O B-MISC O O B-LOC I-LOC O O O O O O O O O O O O O O O O
Lakes Rally which ended on Monday :	B-MISC I-MISC O O O O O
Thousands of books were banned from sale in the West Bank and Gaza Strip by the Israeli military authorities before the Jewish state handed over parts of the two areas to the PLO under a self-rule deal in 1994 .	O O O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O B-MISC O O O O B-MISC O O O O O O O O O O B-ORG O O O O O O O
" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , " the papers said .	O O B-PER I-PER O O O O B-LOC O O O O O O O O B-LOC O O O O O O
The economy is not recovering smoothly or at a fast pace . "	O O O O O O O O O O O O O
Faber made amends in the 32nd minute when he headed in a corner to score the equaliser .	B-PER O O O O O O O O O O O O O O O O O
FLORIDA 62 70 .470 20	B-ORG O O O O
Thomas Bjorn ( Denmark ) , Fernando Roca ( Spain ) , Derrick	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O B-PER
Saudi riyal rates steady in quiet summer trade .	B-MISC O O O O O O O O
Sokol Tychy 7 4 0 3 14 15 12	B-ORG I-ORG O O O O O O O
WATER DISTRICT 1 OF JOHNSON CO .	B-MISC I-MISC I-MISC O B-ORG I-ORG O
The previous mark of 26:43.53 was set by Ethiopia 's Haile Gebreselassie in the Dutch town of Hengelo in June last year .	O O O O O O O O B-LOC O B-PER I-PER O O B-MISC O O B-LOC O O O O O
Admira / Wacker 6 0 3 3 5 10 3	B-ORG I-ORG I-ORG O O O O O O O
BONN 1996-08-24	B-LOC O
W L PCT GB	O O O O
London Carnival ends in high spirits .	B-MISC I-MISC O O O O O
M. Atherton not out 26	B-PER I-PER O O O
CHESAPEAKE , Va .	B-LOC O B-LOC O
-DOCSTART-	O
Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government .	B-MISC O O O O O O B-LOC O O O B-MISC O O O B-PER O O O
BADMINTON - MALAYSIAN OPEN BADMINTON RESULTS .	O O B-MISC I-MISC O O O
1. Williams 149 points	O B-ORG O O
Investigators arrested a senior police detective on Sunday in connection with their inquiries into Belgium 's child sex scandal , Public Prosecutor Michel Bourlet said .	O O O O O O O O O O O O O O B-LOC O O O O O O O B-PER I-PER O O
Swedish options and derivatives exchange OM Gruppen AB said on Thursday it would open an electronic bourse for forest industry products in London in the first half of 1997 .	B-MISC O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O B-LOC O O O O O O O
3. Marcus Gronholm ( Finland ) Toyota Celica 2:09	O B-PER I-PER O B-LOC O B-MISC I-MISC O
" I have been watching him for several weeks now and have no doubts he brings real quality to the side .	O O O O O O O O O O O O O O O O O O O O O O
There was just so much riding on it .	O O O O O O O O O
Former England manager Bobby Robson enjoyed his first success in charge of Barcelona as his team weathered 90 minutes of non-stop Atletico Madrid pressure to win the Spanish Super Cup 6-5 on aggregate on Wednesday .	O B-LOC O B-PER I-PER O O O O O O O B-ORG O O O O O O O O B-ORG I-ORG O O O O B-MISC B-MISC I-MISC O O O O O O
9. Martin Brundle ( Britain ) Jordan 1:55.385	O B-PER I-PER O B-LOC O B-ORG O
J. Crawley c Aamir Sohail b Wasim Akram 19	B-PER I-PER O B-PER I-PER O B-PER I-PER O
WASHINGTON 1996-08-27	B-LOC O
Leading results at an	O O O O
U.S. says still committed to Cuba migration pacts .	B-LOC O O O O B-LOC O O O
SOCCER - FOWLER AND MCMANAMAN OUT OF ENGLAND SQUAD .	O O B-PER O B-PER O O B-LOC O O
for , against , points ) :	O O O O O O O
THURSDAY , AUGUST 29TH SCHEDULE	O O O O O
It blamed the drop in profits on a weak vehicle market and said as its engine plant had only just started trial production , the company 's results would not improve in the short-term .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Pescara 's Ottavio Palladini shattered Parma with goals in the second and fourth minutes .	B-ORG O B-PER I-PER O B-ORG O O O O O O O O O
Estonia presidential race next round on Sept 20 .	B-LOC O O O O O O O O
Soyoil solvent was down by 400 rupees per tonne and soyoil refined was down by 400 rupees .	O O O O O O O O O O O O O O O O O O
-- Wellington newsroom 64 4 4734 746	O B-LOC O O O O O
Following are some of the main factors likely to affect Indonesian stocks on Thursday :	O O O O O O O O O O B-MISC O O O O
The following table shows the latest close of key indices* on major world stock exchanges , the day 's change in points and the indices ' 1996 closing highs and lows ( with dates ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1. Yuuchi Takeda ( Japan ) Honda 38 minutes 30.054 seconds	O B-PER I-PER O B-LOC O B-ORG O O O O
LONDON 1996-08-27	B-LOC O
Dutch post and telecoms group Koninklijke PTT Nederland NV 's ( Dutch PTT ) first half results came marginally below most analysts ' forecasts , giving scant grounds to adjust full year estimates , analysts said on Friday .	B-MISC O O O O B-ORG I-ORG I-ORG I-ORG O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
5 - Andrei Medvedev ( Ukraine ) beat Karol Kucera ( Slovakia ) 7-6	O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
Peter Hedblom ( Sweden ) 70 75 75 , Retief Goosen ( South	B-PER I-PER O B-LOC O O O O O B-PER I-PER O B-LOC
WESTERN DIVISION	B-MISC I-MISC
6. Jans Koerts ( Netherlands ) Palmans	O B-PER I-PER O B-LOC O B-ORG
Fred Trueman ( England ) 307 , 67	B-PER I-PER O B-LOC O O O O
RICHMOND , Va .	B-LOC O B-LOC O
Werder Bremen 1 ( Schulz 31st ) Borussia Moenchengladbach 0 .	B-ORG I-ORG O O B-PER O O B-ORG I-ORG O O
India 's Home ( interior ) Minister accused Pakistan on on Thursday of planning to disrupt state elections in troubled Jammu and Kashmir state .	B-LOC O O O O O O O B-LOC O O O O O O O O O O O B-LOC O B-LOC O O
Japan coalition party leader plans to resign .	B-LOC O O O O O O O
In Prague : Sparta Prague ( Czech Republic ) 8 Glentoran	O B-LOC O B-ORG I-ORG O B-LOC I-LOC O O B-ORG
Headlines from major national newspapers .	O O O O O O
The Romanian Soccer Federation has banned first division club Jiul Petrosani 's president Miron Cozma for two years for headbutting a visiting team player , a federation statement said .	O B-ORG I-ORG I-ORG O O O O O B-ORG I-ORG O O B-PER I-PER O O O O O O O O O O O O O O O
They are due to stand trial next January .	O O O O O O O O O
5. Wim Omloop ( Belgium ) Collstrop same time	O B-PER I-PER O B-LOC O B-ORG O O
Brazil 's Eletropaulo names new president .	B-LOC O B-ORG O O O O
Morocco 's Salah Hissou broke the men 's 10,000 metres world record on Friday when he clocked 26 minutes 38.08 seconds at the Brussels grand prix on Friday .	B-LOC O B-PER I-PER O O O O O O O O O O O O O O O O O O O B-LOC O O O O O
PARIS 1996-08-28	B-LOC O
-DOCSTART-	O
O'Meara 73 71 69 71 , Jim Furyk 75 69 67 73 , Justin Leonard 69	B-PER O O O O O B-PER I-PER O O O O O B-PER I-PER O
The SEC dropped a third proposal that would have allowed investors with market orders to trade at a better price if there were shifts in prices before their orders were executed .	O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4. Luca Cadalora ( Italy ) Honda 1:51.006	O B-PER I-PER O B-LOC O B-ORG O
Men 's 1,500 metres	O O O O
4. Gounon , Bernard , Belmondo 98	O B-PER O B-PER O B-PER O
AP Moller 30 31/8 Caribs / Japan $ 875,000 BP .	B-ORG I-ORG O O B-LOC O B-LOC O O B-ORG O
Stich said he felt the players ought to have organised an active protest .	B-PER O O O O O O O O O O O O O
European beef sales plunged after Britain announced the discovery of a likely link between bovine spongiform encephalopathy ( BSE ) , or mad cow disease , and its fatal human equivalent Creutzfeldt-Jakob Disease ( CJD ) .	B-MISC O O O O B-LOC O O O O O O O O O O O O B-MISC O O O O O O O O O O O O B-MISC I-MISC O B-MISC O O
Paul Haarhuis ( Netherlands ) beat Michael Joyce ( U.S ) 6-7	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
DUBLIN 1996-08-23	B-LOC O
The C$ 30-a-share deal means Barrick will own Arequipa 's attractive Pierina gold deposit in Peru .	O B-MISC O O O B-ORG O O B-ORG O O B-LOC O O O B-LOC O
-DOCSTART-	O
-DOCSTART-	O
15-12 15-10 15-3	O O O
Mirhunisa Komarica , a government refugee official , said : " We want to vote where we were thrown out from .	B-PER I-PER O O O O O O O O O O O O O O O O O O O O
Dr. Jack Kevorkian attended his third suicide in less than a week on Thursday , bringing the body of a 40-year-old Missouri woman suffering from multiple sclerosis to a hospital emergency room , doctors said .	O B-PER I-PER O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O
NEW YORK 59 69 .461 21 1/2	B-ORG I-ORG O O O O O
for , against , points ) :	O O O O O O O
England	B-LOC
An earlier problem with CDU No .	O O O O B-ORG I-ORG I-ORG
Graham Thorpe 3 5 0 159 77 31.80	B-PER I-PER O O O O O O
Americast will provide the boxes to subscribers as part of the service .	B-ORG O O O O O O O O O O O O
Mr. President you deserve our thanks . "	O O O O O O O O
At a hotel convention here , the party associated with the Transcendental Meditation ( TM ) movement named physicist John Hagelin as its presidential nominee for the Nov. 5 election .	O O O O O O O O O O O B-MISC I-MISC O B-MISC O O O O B-PER I-PER O O O O O O O O O O
Lyon 2 Nancy 0	B-ORG O B-ORG O
Note - Industrial gases maker Hoek Loos NV .	O O O O O B-ORG I-ORG I-ORG O
PHILADELPHIA 1996-08-29	B-LOC O
While the world heaps honours on her and even regards her as a living saint , the nun of Albanian descent maintains she is merely doing God 's work .	O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O B-PER O O O
-DOCSTART-	O
RABOBANK [ RABN.CN ] SEES H2 NET GROWTH UNDER 10 PCT .	B-ORG O O O O O O O O O O O
Vladimir Smicer ( Lens ) , Christopher Wreh ( Guingamp ) .	B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O
division soccer match played on Tuesday :	O O O O O O O
* UIC , part of insurer GAN , slid 12.19 percent to 55.1 francs after reporting a net attributable first-half loss of 758 million francs after the close on Monday .	O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
Standard Liege 4 3 0 1 7 3 9	B-ORG I-ORG O O O O O O O
Women 's singles , second round	O O O O O O
Scores from the $ 2.1	O O O O O
Muthiah Muralitharan , Ravindra Pushpakumara	B-PER I-PER O B-PER I-PER
CONTRACT ( MONTH ) APT CLOSE SETTLEMENT PREVIOUS SETTLE	O O O O O O O O O
Interbank call money was down to 8.0 from 10.0 percent .	B-ORG O O O O O O O O O O
NEW YORK 1996-08-28	B-LOC I-LOC O
It is not clear when the conference will be held .	O O O O O O O O O O O
Acting Socialist leader Servet Pellumbi has said he too will urge the party to scrap the ideas of Karl Marx at the congress .	O O O B-PER I-PER O O O O O O O O O O O O O B-PER I-PER O O O O
It will be available in Austria and Switzerland later this year and in Scandanavia and the Benelux countries next year .	O O O O O B-LOC O B-LOC O O O O O O O O B-LOC O O O O
Cleveland 12 DETROIT 2	B-ORG O B-ORG O
Media reports have speculated that the commission , which is trying to heal the wounds of apartheid by confronting the past , could subpoena apartheid-era President P.W. Botha and former police generals Basie Smit and Johan Van Der Merwe .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O B-PER I-PER O B-PER I-PER I-PER I-PER O
-DOCSTART-	O
" One of the police versions in the case of the murder of young gypsy woman in Topolcany , western Slovakia , this July , is a suspicion that Mark Dutroux could have been involved in the murder , " Gajdos said without elaborating on the age of the victim and on the other versions .	O O O O O O O O O O O O O O O O O B-LOC O O B-LOC O O O O O O O O B-PER I-PER O O O O O O O O O B-PER O O O O O O O O O O O O O O O
Otelul Galati 1 F.C. Arges Dacia Pitesti 0	B-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG O
15,000 .	O O
LONDON 1996-08-25	B-LOC O
-DOCSTART-	O
Such things do not happen by chance in the Clinton White House , they are part of his political chess game .	O O O O O O O O O B-PER B-LOC I-LOC O O O O O O O O O O
If that were the case , it was unclear why Lebed suddenly found it necessary to have the deal verified in Moscow .	O O O O O O O O O O B-PER O O O O O O O O O O B-LOC O
Chelsea 3 2 1 0 3 0 7	B-ORG O O O O O O O
own goal ) , Miroslav Bak ( 62nd and 63rd )	O O O O B-PER I-PER O O O O O
London 56 Castleford 0	B-ORG O B-ORG O
He had earlier mounted the mosque 's pulpit to demand release of detainees , an end to raids on houses and the cancelling of the bread price rises .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2. Benson Koech ( Kenya ) 1:45.96	O B-PER I-PER O B-LOC O O
Gold Coast 21 5 1 15 351 483 11	B-ORG I-ORG O O O O O O O
Net nil loss 447 mln	O O O O O
- King to visit Bahrain soon .	O O O O B-LOC O O
Sudanese police have arrested three people trying to smuggle sewing machines and army clothing to Sudanese opposition groups in Eritrea , an official newspaper reported on Saturday .	B-MISC O O O O O O O O O O O O O O B-MISC O O O B-LOC O O O O O O O O
Spot rupiah was quoted at 2,342.0 / 42.5 at 0915 GMT , unchanged from the opening level .	O O O O O O O O O O B-MISC O O O O O O O
Parliamentary organisers said the exact timetable remained unclear but it would probably take about a month to organise an electoral college which could also hold several rounds of voting before a clear winner emerges .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
*	O
Yellow Black	B-MISC I-MISC
-DOCSTART-	O
CHICAGO 69 61 .531 8	B-ORG O O O O
O.J. Simpson hints at more supporting evidence .	B-PER I-PER O O O O O O
FC Linz 6 0 2 4 1 9 2	B-ORG I-ORG O O O O O O O
BEIJING 1996-08-27	B-LOC O
Michael Schumacher 's victory in the Belgian Formula One Grand Prix at Spa-Francorchamps sparked a speeding epidemic on Belgian roads after the race was over .	B-PER I-PER O O O O B-MISC B-MISC I-MISC I-MISC I-MISC O B-LOC O O O O O B-MISC O O O O O O O
Dutch coach Guus Hiddink called in Feyenoord midfielder Giovanni van Bronckhorst and Vitesse defender Ferdy Vierklau for Cocu and Veldman , but did not name a replacement for midfielder Witschge .	B-MISC O B-PER I-PER O O B-ORG O B-PER I-PER I-PER O B-ORG O B-PER I-PER O B-PER O B-PER O O O O O O O O O B-PER O
World Series cricket match between India and Sri Lanka on	B-MISC I-MISC O O O B-LOC O B-LOC I-LOC O
1-1 .	O O
W L PCT GB	O O O O
-DOCSTART-	O
The greatest declines in the volume of help-wanted advertising were in the New England , Mountain and West South Central regions .	O O O O O O O O O O O O B-LOC I-LOC O B-LOC O B-LOC I-LOC I-LOC O O
69 74	O O
- - - -	O O O O
Russian grade A7E 3.25-3.75 cents / pound	B-MISC O O O O O O
Army troops were called in to evacuate residents of low-lying areas to higher ground .	O O O O O O O O O O O O O O O
-DOCSTART-	O
In Toronto , Juan Guzman allowed three runs over seven innings to make homers by Joe Carter and Carlos Delgado stand up as the surging Toronto Blue Jays held off the Minnesota Twins , 5-3 .	O B-LOC O B-PER I-PER O O O O O O O O O O B-PER I-PER O B-PER I-PER O O O O O B-ORG I-ORG I-ORG O O O B-ORG I-ORG O O O
Gloucestershire 14 3 6 5 19 47 129	B-ORG O O O O O O O
Tuesday 's demolition came a day after PLO officials said they had bowed to Netanyahu 's demand they close offices in Jerusalem .	O O O O O O O B-ORG O O O O O O B-PER O O O O O O B-LOC O
French international midfielder Marcel Desailly fouled the Argentine , whose coach at Boca Juniors before he joined Fiorentina in 1991 was new Milan coach Oscar Tabarez , and Batistuta rammed home the free kick from 30 metres out .	B-MISC O O B-PER I-PER O O B-MISC O O O O B-ORG I-ORG O O O B-ORG O O O O B-ORG O B-PER I-PER O O B-PER O O O O O O O O O O
-DOCSTART-	O
India has often accused Pakistan of abetting militancy in the valley , a charge Islamabad has always denied .	B-LOC O O O B-LOC O O O O O O O O O B-LOC O O O O
With 307 days to go before the British colony reverts to China , the Hong Kong media focused mainly on domestic issues concerning alleged pressure on a judge , cross straights relations and the democratic lobby 's relationship with Beijing .	O O O O O O O B-MISC O O O B-LOC O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O B-LOC O
Fall of wickets : 1-96 2-136 3-166 4-179 5-187 6-205 7-220	O O O O O O O O O O O
